CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,RiskSegment,ProductEngagement,FinancialStabilityScore
619,France,Female,42,2,0.0,1,1,1,101348.88,1,Medium Risk,0.45,0.5067634543058819
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,Medium Risk,0.25,0.8967655374778698
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,Medium Risk,0.95,1.2060364458760062
699,France,Female,39,1,0.0,2,0,0,93826.63,0,Medium Risk,0.5,0.4691507900697066
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,High Risk,0.45,0.8956815838751182
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,Medium Risk,0.7,1.2022060695418644
822,France,Male,50,7,0.0,2,1,1,10062.8,0,Low Risk,0.7,0.05031589187753459
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,Medium Risk,1.2,1.0552965583076717
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,Medium Risk,0.5,0.9408869814738867
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,High Risk,0.45,0.895130395974878
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,Medium Risk,0.5,0.8075268787538737
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,Medium Risk,0.7,0.38196441186188596
476,France,Female,34,10,0.0,2,1,0,26260.98,0,Low Risk,0.7,0.13130983724988057
549,France,Female,25,5,0.0,2,0,0,190857.79,0,Medium Risk,0.5,0.9543248326137063
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,Low Risk,0.7,0.3297706493764165
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,High Risk,0.5,0.8921167064326897
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,High Risk,0.45,0.5540022197557507
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,Low Risk,0.7,0.07203475850691986
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,Medium Risk,0.25,0.7934538838660333
726,France,Female,24,6,0.0,2,1,1,54724.03,0,Medium Risk,0.7,0.27363043850448776
732,France,Male,41,8,0.0,2,1,1,170886.17,0,Low Risk,0.7,0.8544629778079657
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,Low Risk,0.7,0.6928033494059376
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,Medium Risk,0.45,0.5945900065842475
669,France,Male,46,3,0.0,2,0,1,8487.75,0,Medium Risk,0.5,0.04244034575700046
846,France,Female,38,5,0.0,1,1,1,187616.16,0,Medium Risk,0.45,0.938116073164351
577,France,Male,25,3,0.0,2,0,1,124508.29,0,Medium Risk,0.5,0.6225648584386773
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,High Risk,0.45,1.3955453521294472
571,France,Male,44,9,0.0,2,0,0,38433.35,0,Low Risk,0.5,0.19217397574148787
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,High Risk,0.45,1.0643298641599275
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,Medium Risk,0.7,0.5053600408684956
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,Medium Risk,0.95,0.7023733092364273
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,Low Risk,0.25,1.1237143233962898
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,Medium Risk,0.5,0.8483830157039534
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,Medium Risk,0.7,0.17205921942665045
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,Low Risk,0.7,0.7101920532212012
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,High Risk,0.45,0.6742539477800807
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,High Risk,0.25,1.1493163787216771
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,Low Risk,0.25,0.7973841367397101
850,France,Male,36,7,0.0,1,1,1,40812.9,0,Low Risk,0.45,0.20407217311370907
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,Medium Risk,0.5,1.1707943350019825
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,Medium Risk,0.45,0.3507842894892848
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,Medium Risk,0.25,1.3948573401017392
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,High Risk,0.45,0.9387830407953501
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,High Risk,0.25,1.495562274225905
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,Medium Risk,0.45,1.4132135363905571
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,Medium Risk,0.7,1.0687289139371074
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,Medium Risk,0.45,1.04514196557425
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,Medium Risk,0.45,1.137537665759111
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,High Risk,0.25,0.8664928974792052
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,High Risk,0.7,1.3841232038401532
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,Medium Risk,0.7,1.4541204252583728
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,Medium Risk,0.5,1.0142518199737365
788,France,Female,33,5,0.0,2,0,0,116978.19,0,Medium Risk,0.5,0.5849129427266465
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,Medium Risk,0.25,1.32068562399567
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,High Risk,0.45,0.592653940888357
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,High Risk,0.45,1.0661286671306607
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,Medium Risk,0.45,0.9451810637749936
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,Medium Risk,0.25,0.5305435581128028
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,Medium Risk,0.45,0.008215858916295251
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,Medium Risk,0.45,0.39604633289467706
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,Medium Risk,0.25,0.9680322192447042
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,Medium Risk,0.5,1.2396323563199063
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,Medium Risk,0.5,1.1175600044644753
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,Low Risk,0.45,0.8107121981175185
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,Medium Risk,0.45,0.899323240117369
